O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source,category,raw_weight,weight,ai_exposure,contribution
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",20994,Submit artwork to shows or galleries.,Supplemental,50.0,07/2017,Incumbent,Other,1,0.010526315789473684,0.5,0.005263157894736842
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",10992,"Submit preliminary or finished artwork or project plans to clients for approval, incorporating changes as necessary.",Supplemental,49.0,07/2017,Incumbent,Creative Direction,4,0.042105263157894736,0.6,0.02526315789473684
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",11004,"Collaborate with engineers, mechanics, and other technical experts as necessary to build and install creations.",Supplemental,49.0,07/2017,Incumbent,Communication,2,0.021052631578947368,0.4,0.008421052631578947
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",10995,"Cut, bend, laminate, arrange, and fasten individual or mixed raw and manufactured materials and products to form works of art.",Supplemental,50.0,07/2017,Incumbent,Other,1,0.010526315789473684,0.5,0.005263157894736842
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",11013,Provide entertainment at special events by performing activities such as drawing cartoons.,Supplemental,50.0,07/2017,Incumbent,Creative Production,5,0.05263157894736842,0.85,0.04473684210526315
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",11002,"Develop project budgets for approval, estimating time lines and material costs.",Supplemental,48.0,07/2017,Incumbent,Creative Direction,4,0.042105263157894736,0.6,0.02526315789473684
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",11005,"Create and prepare sketches and model drawings of cartoon characters, providing details from memory, live models, manufactured products, or reference materials.",Supplemental,50.0,07/2017,Incumbent,Creative Production,5,0.05263157894736842,0.85,0.04473684210526315
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",10994,"Create finished art work as decoration, or to elucidate or substitute for spoken or written messages.",Supplemental,50.0,07/2017,Incumbent,Creative Production,5,0.05263157894736842,0.85,0.04473684210526315
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",10999,"Create sketches, profiles, or likenesses of posed subjects or photographs, using any combination of freehand drawing, mechanical assembly kits, and computer imaging.",Supplemental,50.0,07/2017,Incumbent,Creative Production,5,0.05263157894736842,0.85,0.04473684210526315
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",11009,"Trace drawings onto clear acetate for painting or coloring, or trace them with ink to make final copies.",Supplemental,50.0,07/2017,Incumbent,Creative Production,5,0.05263157894736842,0.85,0.04473684210526315
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",11010,"Apply solvents and cleaning agents to clean surfaces of paintings, and to remove accretions, discolorations, and deteriorated varnish.",Supplemental,50.0,07/2017,Incumbent,Creative Production,5,0.05263157894736842,0.85,0.04473684210526315
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",11012,"Collaborate with writers who create ideas, stories, or captions that are combined with artists' work.",Supplemental,50.0,07/2017,Incumbent,Creative Production,5,0.05263157894736842,0.85,0.04473684210526315
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",11008,"Brush or spray protective or decorative finishes on completed background panels, informational legends, exhibit accessories, or finished paintings.",Supplemental,49.0,07/2017,Incumbent,Creative Production,5,0.05263157894736842,0.85,0.04473684210526315
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",20995,Teach artistic techniques to children or adults.,Supplemental,49.0,07/2017,Incumbent,Other,1,0.010526315789473684,0.5,0.005263157894736842
